patient_id,given_name,surname,street_number,address_1,phone_number,address_2,postcode_updated,state_updated,suburb_updated,dob_updated,age_final
221958,matisse,clarke,13.0,rene street,08 86018809,westella,2527,nsw,ellenbrook,1971,49
771155,joshua,elrick,23.0,andrea place,02 97793152,foxdown,2074,nsw,east preston,1912,108
231932,alice,conboy,35.0,mountain circuit,02 20403934,None,2305,nsw,prospect,1981,39
465838,sienna,craswell,39.0,cumberlegeicrescent,02 62832318,jodane,3620,vic,henty,1984,36
359178,joshua,bastiaans,144.0,lowrie street,03 69359594,None,4051,qld,campbell town,1934,86
744167,ky,laing,448.0,nyawi place,03 59872070,None,3556,vic,barmera,1905,115
210268,matthew,laing,11.0,barnes place,02 86925029,None,2160,nsw,laurieton,1906,114
832180,jack,renfrey,27.0,osmand street,03 15575583,dhurringill,2170,nsw,maribyrnong,1961,59
154886,adele,ryan,76.0,house circuit,07 37444521,None,2200,nsw,new farm,1943,77
237337,breeanne,wynne,12.0,cowper street,08 24888117,None,2062,nsw,bonnet bay,1903,117
621430,michael,white,17.0,farrer street,08 61399758,None,3971,vic,flagstaff hill,1983,37
187498,None,mason,20.0,padbury street,03 85186450,pioneer lodge,6239,wa,granville,1920,100
999159,joshua,bristow,21.0,thake place,08 93848698,None,7004,tas,oxley vale,1965,55
275203,max,godfrey,166.0,givens street,07 88425978,None,4152,qld,leichhardt,1986,34
291335,mikayla,paterson,20.0,freda bennett circuit,08 88377793,None,4670,qld,dover heights,1981,39
378167,cain,scarles,58.0,reader court,03 67476384,jorobe,2428,nsw,dorrigo,1989,31
141090,georgia,white,117.0,burston place,07 53985196,None,4127,qld,conder,1992,28
429365,None,coffey,1409.0,musson close,03 13369308,silverweir,5019,sa,beaconsfield upper,1990,30
164820,lia,wilde,30.0,elsey street,03 98048163,None,3109,vic,None,1907,113
887201,mitchekl,stephenskon,58.0,rosman circuit,03 85151806,None,2359,nsw,eastwood,1932,88
421879,callum,nicolle,2.0,mcleod place,03 79802023,marella,2144,nsw,walgett,1934,86
818315,ruby,grafton,97.0,dannevig place,02 12194238,glenwarren,3180,vic,st clair,1918,102
427069,mystique,white,85.0,herington street,07 24234495,None,6000,wa,east maitland,1999,21
876997,zac,rosendale,5.0,harper street,03 34384419,None,6063,wa,mona vale,1929,91
299041,harrison,neumann,60.0,eggleston crescent,04 13196831,None,2560,nsw,tweed heads,1970,50
891743,charlie,mcgregor,36.0,bialla street,08 32766433,None,2390,nsw,keysborough,1955,65
203355,clain,kinnane,3.0,alexander mackie circuit,07 49171625,None,5152,sa,north tamborine,1975,45
335796,jake,clarke,66.0,debenham street,04 99155978,None,4575,qld,sippy downs,1948,72
314176,talia,mitton,10.0,starling place,07 43440041,alexander's folly,2117,nsw,broken hill,1952,68
284779,alexandra,miles,23.0,duffy street,02 24131074,riverland village,2047,nsw,christies beach,1991,29
447449,andrew,fimmano,83.0,None,02 39509342,None,2560,nsw,clifton springs,1987,33
521909,alicia,opbroek,130.0,cooks street,02 12298926,None,3072,vic,yunderup,1947,73
358795,riley,mildren,20.0,jinka street,0,None,3111,vic,kempsey,1918,102
586232,jade,green,19.0,goyder street,02 22915798,None,4211,qld,coolum beach,1947,73
600186,zachary,stancliffe,40.0,macgregor street,03 67952046,woodsong,6027,wa,coodanup,1991,29
256730,xani,soulemezis,34.0,macrossan rescent,07 24955924,sec 1,2192,nsw,mullumbimby creek,1989,31
970910,tabitha,friman,8.0,howitt street,07 30294882,None,2800,nsw,bulimba,1907,113
484681,chloe,gimbrere,53.0,o'connor circuit,08 69503221,None,2317,nsw,wynnum west,1913,107
249503,lucas,katsiavos,20.0,shakespeare crescent,02 58639506,kangaroo grnd,4655,qld,nightcliff,1992,28
754811,william,duchatenier,357.0,nakala place,03 11977466,None,4075,qld,caulfield north,1961,59
627035,ellorah,parr,12.0,bosworth circuit,08 40688028,killune,3523,vic,ardeer,1903,117
748143,matthew,callahan,46.0,garrad court,04 74566827,None,3088,vic,narrandera,1997,23
552366,dylan,leane,158.0,byrne street,07 12047561,None,2528,nsw,landsborough,1950,70
165725,macormack,maniotto,166.0,cossington smith crescent,07 88947739,golden ponds resort,2075,nsw,ellenbrook,1942,78
229981,michael,lindorff,27.0,werriwa crescent,03 19153989,colonial cvan park,3500,vic,park holme,1982,38
184654,bailey,vanlaatum,0.0,mckail crescent,04 35418868,None,3130,vic,birtinya,1937,83
691723,thomas,white,21.0,clive steele avenue,03 27742338,None,2250,nsw,barwon heads,1999,21
419030,ruby,orme,106.0,marsden street,03 74398144,None,2303,nsw,balwyn north,1989,31
428947,abbie,fitzpatrick,7.0,jacka crescent,03 41475097,None,5091,sa,prospect,1970,50
655839,teileah,callado,49.0,darambal street,02 56099733,None,6018,wa,dulwich hill,1928,92
373538,harry,godfrey,79.0,maclaurin crescent,04 03113896,None,4555,qld,new farm,1982,38
431236,alexander,paterson,106.0,throsby crescent,02 34653509,None,7301,tas,seven hills,1938,82
628178,giorgia,hammer,40.0,moncrieff street,04 16536297,medical centre,2763,nsw,elsternwick,1992,28
665894,ellen,scannell,2.0,lyall crescent,03 76123607,None,2902,act,rochedale south,1959,61
589492,holly,reid,3.0,powell street,08 21796720,naraweena,4500,qld,ballina,1977,43
356840,maria,skailes,50.0,james smith circuit,08 04385543,None,4811,qld,glenbrook,1967,53
573254,None,wilde,3.0,must circuit,04 40239609,None,800,nt,ormeau,1959,61
449457,louis,leong,2.0,wilsmore crescent,02 46464206,None,6163,wa,eastern heights,1982,38
765987,alicia,clarke,39.0,badenoch crescent,07 16836996,None,4066,qld,gidgegannup,1970,50
370936,None,coulson,118.0,murphy street,04 05029557,None,2062,nsw,st agnes,1982,38
339931,madison,morrison,14.0,barber crescent,08 58415422,inverpine ret vill,3199,vic,carlingford,1948,72
339629,jacqueline,bencze,38.0,andrews street,08 01253632,birrabilla,3126,vic,somers,1933,87
305041,alexander,garcia,114.0,curlewis crescent,04 57321477,None,2026,nsw,kellyville,1966,54
798361,isabella,lowe,82.0,nicholson crescent,07 56614783,None,2207,nsw,camperdown,1983,37
831912,jasmine,webb,3.0,legge street,04 74434855,None,2800,nsw,bexley north,1942,78
517113,trey,glass,27.0,mugga way,08 08091408,blackridge flyfishing school,5093,sa,carnegie,1918,102
168148,kallie,None,18.0,lampard circuit,02 37706143,None,2632,nsw,bassendean,1938,82
877089,adam,webb,40.0,easterbrook place,04 45346558,leisure living vlge,3205,vic,harris park,1963,57
748531,tia,latewui,6.0,bamir square,0,None,3169,vic,lemon tree passage,1911,109
351995,None,thurlow,12.0,partridge street,08 43244546,None,4507,qld,trinity park,1908,112
778843,liam,marshman,51.0,melrose drive,03 33404824,white rock,5290,sa,belmont,1913,107
672843,xepheren,mudaliar,38.0,sandford street,02 22067326,None,3175,vic,coolbellup,1968,52
