,Unnamed: 0,patient_id,given_name,surname,street_number,address_1,phone_number,address_2,postcode_updated,state_updated,suburb_updated,dob_updated,age_final
467,467,897079,aiden,mesecke,6.0,cameron strzeet,07 34339249,None,2500,nsw,clayyon,1938,82
488,488,749150,benjamin,weidenhoffer,436.0,kadina crescent,03 02607538,None,7310,tas,joyner,1954,66
539,539,200235,mitchell,stephenson,56.0,rosman circuit,03 85151806,None,2539,nsw,eastwood,1932,88
605,605,291232,alicia,clarke,39.0,badenoch crescent,07 16836996,golden down,4066,qld,gidgegannup,1970,50
1085,1085,915131,georgia,hope,176.0,constitution avenue,04 70023929,None,3025,vic,brunswick heads,1938,82
1152,1152,365956,hollie,hope,42.0,blacket street,08 41637341,rosemount,2154,nsw,risdon vale,1991,29
1156,1156,625893,isabelle,benger,139.0,cotter road,04 92251225,timaru heights,2096,nsw,bethania,1981,39
1213,1213,609930,taloa,chowdgurdy,15.0,lewin street,02 25001242,None,2192,nsw,mortlake,1903,117
1269,1269,599097,casey,None,17.0,roseberh street,08 36636317,minjarra,2285,nsw,figtree,1970,50
1468,1468,535165,connor,green,0.0,bambridge street,04 00830746,corowa estate,4507,qld,greenwood,1997,23
1508,1508,316454,ellorah,parr,12.0,bosworth circuit,08 40688028,killuke,3523,vic,ardeer,1903,117
1599,1599,942393,hannah,simmonds,98.0,webster street,02 74860059,None,2285,nsw,cundletown,1975,45
1603,1603,356609,joshua,bellamy,41.0,namatjira drive,03 61524567,None,4574,qld,clayfield,1963,57
1673,1673,221789,nicholas,fitzpatrick,3429.0,taylor place,08 37654995,None,4560,qld,normanhuest,1960,60
1703,1703,385195,jake,george,7.0,burkitt srreet,04 75210574,the willows,4551,qld,paralowie,2008,12
1769,1769,437054,taliah,monaco,15.0,national circuit,0,None,4211,qld,hillside,1917,103
1930,1930,992027,josh,bellamy,41.0,namatjira drive,03 61524567,None,4574,qld,clayfield,1963,57
1944,1944,669936,lewis,matthews,24.0,allawah flats,03 95122427,None,3216,vic,attunga,1969,51
2188,2188,567535,riley,white,78.0,hargrave street,08 49078666,None,2257,nsw,empire bay,1993,27
2211,2211,853753,shakira,white,7.0,cawker place,07 46137414,halycon,3218,vic,st clair,1992,28
2223,2223,859746,isabelle,benger,1.0,cotter road,04 92251225,timaru heights,2096,nsw,bethania,1953,67
2227,2227,742120,georgua,wenb,1.0,None,08 64633594,None,2603,act,mitcham,1972,48
2335,2335,297133,lucas,lauss,7.0,place evst,03 19986135,None,3131,vic,penrith,2011,9
2407,2407,821864,talissa,brammy,11.0,james street,02 77001738,tourist park,5333,sa,maryborough,1906,114
2420,2420,260928,giaan,verdins,9.0,archibald street,03 61840871,uppingham,3140,vic,revesby,1928,92
2443,2443,179141,teegan,fletcher-uones,1.0,brown street,0,None,2030,nsw,woollahra,1905,115
2452,2452,497686,madison,morrkspn,14.0,barber crwscent,08 58415422,inverpine ret vill,3199,vic,carlingford,1948,72
2463,2463,148320,matthew,reid,21.0,hawker street,03 28467146,None,2026,nsw,woollahra,1921,99
2465,2465,246649,mitchell,stephenson,58.0,rosman circuit,03 85151806,None,2539,nsw,eastwood,1932,88
2587,2587,358517,anna,maspn,133.0,cataractdstreet,04 64903061,locn 5940,2035,nsw,somerton park,1959,61
2706,2706,293510,tyler,able,154.0,marcus clarke street,02 00493853,None,3333,vic,wanniasa,1980,40
2737,2737,942981,kobe,campbell,17.0,giles street,02 93280129,None,4790,qld,penshurst,1974,46
2786,2786,322724,callum,ryn,46.0,fawkner street,08 77386999,beechworth,2300,nsw,burleig h wsters,1933,87
